offset	string
0x002df334	filledButtonTheme
0x002df354	package:caps_snake_1_v_1/src/components/arena/children/blocked_positions/children/pickup/pickup_manager_provider.dart
0x002df484	decodeBothSensorsMeasurements
0x002df72c	WriteCharacteristicFailure.
0x002df974	boolean bit character integer time delay_length natural positive string bit_vector file_open_kind file_open_status std_logic std_logic_vector unsigned signed boolean_vector integer_vector std_ulogic std_ulogic_vector unresolved_unsigned u_unsigned unresolved_signed u_signed real_vector time_vector
0x002dfafc	package:caps_shake/src/components/frog/character_frog.dart
0x002dfb5c	startLiveData
0x002dfe94	package:caps_shake/src/systems/spawning/difficulty_config.dart
0x002e037c	package:nordic_dfu/src/nordic_dfu.dart
0x002e0504	package:capsapps_sdk/algorithms/tilt/kalman_filter/measurement_model.dart
0x002e0744	Multiple matching characteristics found: 
0x002e094c	_TossGyroscope|_calculateGyroscopeSaturationPercentage@1411034922
0x002e0ac4	CubicToCommand._fromIterablePoints@1999307832
0x002e0bdc	package:flutter_reactive_ble/src/device_scanner.dart2
0x002e0eb4	get:popGestureEnabled
0x002e117c	operation failed
0x002e12b4	DeviceScanResult(uuid: 
0x002e1b34	package:caps_snake_vs_block/src/snake_vs_block/systems/collisions/detectors/block_collision_detector.dart
0x002e1dbc	firmwareAssetEntryA
0x002e1e74	Failed to send signed session: 
0x002e1ea4	characteristicValueFrom
0x002e273c	_bleDeviceInteractor@1465205209
0x002e2c8c	get:firmwareUpdate_Required_StartButton
0x002e2d5c	package:capsapps_sdk/algorithms/services/algorithm_service.dart
0x002e3aac	_BluetoothErrorBottomSheet@6872196872
0x002e413c	ABORT ALTER ANALYZE BEGIN CALL CHECKPOINT|10 CLOSE CLUSTER COMMENT COMMIT COPY CREATE DEALLOCATE DECLARE DELETE DISCARD DO DROP END EXECUTE EXPLAIN FETCH GRANT IMPORT INSERT LISTEN LOAD LOCK MOVE NOTIFY PREPARE REASSIGN|10 REFRESH REINDEX RELEASE RESET REVOKE ROLLBACK SAVEPOINT SECURITY SELECT SET SHOW START TRUNCATE UNLISTEN|10 UPDATE VACUUM|10...
0x002e4e2c	package:caps_endless_match/src/component/player/endless_player_cubit.dart
0x002e508c	_handleEndHandleDragUpdate@2021118012
0x002e517c	package:caps_zp_logger/src/emitters/caps_console_log_emitter.dart
0x002e522c	package:caps_snake_vs_block/src/snake_vs_block/systems/analytics/base_analytics.dart2
0x002e55cc	package:caps_boxer/src/common/boxer_frame_with_gloves_widget.dart
0x002e5734	CubicToCommand
0x002e582c	package:caps_snake_1_v_1/src/common/snake_1v1_object_type.dart
0x002e5a44	doubleDigitMinuteFormat
0x002e5a6c	bluetoothPermissionDeniedUnknown
0x002e5f34	Sign payload failed: 
0x002e627c	package:caps_asset_management/src/data/assets/loader/asset_load_exception.dart
0x002e62fc	sensors
0x002e661c	singleDigitSecondFormat
0x002e6dec	Failed to cleanup connection for device 
0x002e73f4	_handleDeviceUpdateMouseEvents@232437380
0x002e78dc	package:caps_shake/src/components/mountains/mountain_2.dart
0x002e7c7c	init:_linrgbFromScaledDiscount@1871253021
0x002e8144	package:app/features/device_connection/battery_check/battery_check_cubit.freezed.dart
0x002e82b4	UninitializedLocaleData
0x002e839c	package:caps_snake_vs_block/src/snake_vs_block/constants/scoring_constants.dart
0x002e847c	Timeline_isDartStreamEnabled2
0x002e8a9c	Connection attempt cancelled, host: 2
0x002e8d64	package:caps_boxer/src/ui_overlay/setup_game/player_setup/widget/player_item_widget.dart
0x002e8e2c	firmwareUpdate_NotSupported_Message
0x002e93ec	Write failed2
0x002e9abc	get:_isEnabled@418181401
0x002ea0ec	alog alog10 amax0 amax1 amin0 amin1 amod cabs ccos cexp clog csin csqrt dabs dacos dasin datan datan2 dcos dcosh ddim dexp dint dlog dlog10 dmax1 dmin1 dmod dnint dsign dsin dsinh dsqrt dtan dtanh float iabs idim idint idnint ifix isign max0 max1 min0 min1 sngl algama cdabs cdcos cdexp cdlog cdsin cdsqrt cqabs cqcos cqexp cqlog cqsin cqsqrt dcmp...
0x002ea8cc	package:caps_endless_match/src/domain/difficulty_manager.dart
0x002eaa24	package:caps_shake/src/systems/spawning/mountain_factory.dart
0x002eaa84	package:caps_endless_match/src/data/analytics_repository.dart
0x002eac34	CharacteristicValueInfo
0x002eae6c	FirmwarePreloadState2
0x002eb17c	isActivatedMonitoringLiveData
0x002eb304	Failed to read PCM frames.
0x002ebcb4	_FirmwareUpdateStep@695489582
0x002ebf0c	bluetoothReady
0x002ec044	MobileSensorsCubit
0x002ed17c	package:caps_toss_challenge/src/widget/toss_game_widget.dart2
0x002ed53c	package:caps_boxer/src/feature/active_game/boxer_overlay_result.dart2
0x002ed754	package:caps_endless_match/src/core/bloc/game_resetter.dart
0x002eda74	package:caps_asset_management/src/data/assets/game_resolver/manifest_entry_not_found_exception.dart
0x002edcb4	package:caps_asset_management/src/presentation/preload/asset_preload_cubit.dart
0x002edffc	package:capsapps_sdk/algorithms/toss_algorithm/toss_v3_3/rotation_predictor_v3_3.dart
0x002ee3e4	goal_failed
0x002ee4bc	package:caps_asset_management/src/presentation/download/asset_download_flow.dart
0x002eeaac	package:capsapps_sdk/core/service/raw_data_service.dart
0x002eec44	ExceptionBridgeReadBatteryException
0x002ef19c	package:caps_toss_challenge/src/widget/toss_lost.dart
0x002ef43c	package:capsapps_sdk/core/infrastructure/di/sdk_container.dart
0x002eff3c	package:caps_snake_1_v_1/src/core/flame_game/snake_1v1_world.dart
0x002f0274	Failed to get firmware version for device 
0x002f033c	Snake killed - reason: 
0x002f03a4	firmwareUpdate_Error_Message2
0x002f051c	dev.flutter.pigeon.flutter_native_api_plugin.NativeGameHostApi.onSignedPayload
0x002f0934	package:caps_asset_management/src/presentation/download/orchestration/can_start_game_eta_calculator.dart
0x002f0a8c	get:_primaryEnabled@372059085
0x002f0ae4	firmwareUpdate_Error_Header
0x002f0bfc	package:capsapps_sdk/bluetooth/service/discovery/filters/helpers.dart
0x002f0ddc	package:caps_toss/src/caps_toss_game.dart
0x002f0fbc	package:caps_snake_vs_block/src/snake_vs_block/components/blocks/effects/block_destruction/block_destruction_energy_orb.dart2
0x002f10b4	BluetoothService.
0x002f11e4	package:caps_boxer/src/service/audio/audio_player.dart
0x002f1f24	package:app/features/device_connection/permissions/mobile_sensors/mobile_sensors_listener.dart
0x002f247c	Failed to rasterize a picture: 
0x002f25f4	package:caps_shake/src/systems/collision/bitmap_collision_component/has_bitmap_collision.dart
0x002f2ce4	_hasScrolled@188426794
0x002f2e94	package:caps_l10n/caps_l10n.dart
0x002f3b4c	Failed to sign payload: Init play session not initialized
0x002f3e64	, characteristicIds: 
0x002f428c	Failed to send update: 
0x002f433c	initFailed
0x002f439c	assembly module package import alias class interface object given value assign void function new of extends satisfies abstracts in out return break continue throw assert dynamic if else switch case for while try catch finally then let this outer super is exists nonempty shared abstract formal default actual variable late native deprecatedfinal s...
0x002f4c3c	package:caps_toss_challenge/src/service/audio/audio_player.dart
0x002f4e44	package:app/features/device_connection/led_test/led_test_cubit.dart
0x002f50fc	put abs acos aliasReference annuity arrayDecode arrayEncode asin atan atan2 average avg avgDev base64Decode base64Encode baseConvert binaryDecode binaryEncode byteOffset byteToNum cachedURL cachedURLs charToNum cipherNames codepointOffset codepointProperty codepointToNum codeunitOffset commandNames compound compress constantNames cos date dateFo...
0x002f684c	Failed to read firmware version string for device 
0x002f6b04	package:caps_snake_1_v_1/src/components/arena/children/blocked_positions/children/snake/system/snake_movement_system.dart
0x002f6d4c	package:capsapps_sdk/bluetooth/service/state/bluetooth_state_service.dart
0x002f6e74	getBleDeviceSession
0x002f78a4	, requireLocationServicesEnabled: 
0x002f793c	package:caps_endless_match/src/data/game_rules_repository.dart
0x002f7efc	Failed to connect to TRIKI
0x002f803c	Error turning on LED2
0x002f82bc	package:capsapps_sdk/utils/app_lifecycle_helper.dart2
0x002f83dc	_rxCharUuid@1468105895
0x002f863c	package:caps_shake/src/components/top_mountains/top_mountain_4.dart
0x002f86dc	SoLoudReadSamplesFailedToGetDataFormatCppException
0x002f88cc	package:reactive_ble_platform_interface/src/model/generic_failure.dart
0x002f8984	bluetoothConnect
0x002f8ce4	MeasurementKalmanModel
0x002f8e0c	package:caps_toss/src/widget/center_area/toss_current_throw_widget.dart
0x002f8f8c	package:caps_toss/src/widget/center_area/toss_strikes.dart
0x002f94ac	signPayloadResponsePayloadSize
0x002f981c	package:caps_endless_match/src/core/spawner/world_spawner_component.dart
0x002f98bc	_createBleDeviceSession@1467427683
0x002f9c4c	QualifiedCharacteristic
0x002f9d4c	The `handler` has already been called, make sure each handler gets called only once.2
0x002f9f8c	_BatteryCheckState&Object&_$BatteryCheckState@629498949
0x002fa01c	failed
0x002fa3e4	powerupPickupEnabled2
0x002fa454	package:caps_endless_match/src/component/obstacle/mud/mud_obstacle.dart
0x002fa9b4	package:caps_toss_challenge/src/widget/init/game_init_cap.dart
0x002faa04	package:app/features/device_connection/permissions/bluetooth_permissions/bluetooth_no_access_bottom_sheet.dart
0x002faa9c	bluetoothNotSupported
0x002faac4	_LocationDisabledBottomSheet@687219687
0x002fac44	firmwareUpdate_Required_Header
0x002faf8c	performPrivateCommand
0x002fb224	package:capsapps_sdk/bluetooth/service/bluetooth_service.dart
0x002fb984	SDK not initialized. Call CapsAppsSdk.initialize() first.
0x002fba04	_RestorationInformation@146124995.fromSerializableData
0x002fbb0d	  commands: <PathCommand>
0x002fbde4	package:caps_endless_match/src/ui_overlay/endless_match_game_summary_page.dart
0x002fc39c	_deviceInformationServiceUuid@1468105895
0x002fc91c	Failed to sign payload: No active connection2
0x002fd464	package:caps_test_games/src/tilt_pitch_roll/tilt_pitch_roll_test_page.dart
0x002fd4bc	package:caps_endless_match/src/config/endless_match_game_config.dart2
0x002fd58c	Low battery in Triki2
0x002fd70c	package:capsapps_bridge/src/app_bridges/mobile_sensors/mobile_sensors_state.dart
0x002fddb4	kind do while private call intrinsic where elsewhere type endtype endmodule endselect endinterface end enddo endif if forall endforall only contains default return stop then block endblock public subroutine|10 function program .and. .or. .not. .le. .eq. .ge. .gt. .lt. goto save else use module select case access blank direct exist file fmt form ...
0x002fe4fc	package:capsapps_sdk/algorithms/tilt/kalman_filter/process_model.dart
0x002fe804	package:caps_snake_vs_block/src/snake_vs_block/components/blocks/effects/block_hit_wave/block_hit_wave_effect.dart
0x002fe8ec	WriteCharacteristicInfo.fromBuffer
0x002ff03c	DFU: Idle timeout (
0x002ff07c	scaledByDouble
0x002ff574	_List@0150898.filled2
0x002ff9b4	package:reactive_ble_platform_interface/src/model/discovered_device.g.dart
0x002fff6c	package:caps_networking/src/domain/connectivity_status.dart
0x002fffb4	_impellerEnabled@17065589
0x0030006c	package:caps_snake_1_v_1/src/components/arena/children/blocked_positions/children/pickup/components/barriers_pickup.dart
0x003004e4	package:caps_snake_1_v_1/src/components/arena/children/blocked_positions/models/blocked_area.dart
0x00300f9c	Failed to stop data streaming for device 
0x00301974	ByRef Case Const ContinueCase ContinueLoop Default Dim Do Else ElseIf EndFunc EndIf EndSelect EndSwitch EndWith Enum Exit ExitLoop For Func Global If In Local Next ReDim Return Select Static Step Switch Then To Until Volatile WEnd While With
0x00301de4	get:firmwareReady
0x00302194	get:bluetoothPermissions_NoAccess_Title
0x003023ec	package:caps_snake_1_v_1/src/components/arena/children/blocked_positions/children/snake/models/snake_body_positions.dart
0x003027ac	bluetoothNotAuthorized
0x003028f4	package:capsapps_bridge/src/presentation/game/orchestration/native_api_side_effects.dart
0x00302cdc	package:caps_shake/src/systems/overlays/ui/force_bar.dart
0x00302d84	package:caps_l10n/src/l10n/intl/messages_all.dart
0x00302e6c	NordicDfu
0x00302f0c	ReadCharacteristicRequest._@1975234311
0x00303264	, servicesWithCharacteristicsToDiscover: 
0x0030329c	' has been assigned during initialization.
0x0030348c	Firmware update error for device 
0x00303504	package:caps_toss/src/widget/components/toss_colored_widget.dart
0x0030362c	ledTest_Help2
0x00303684	battery_Low_StartButton
0x003036ac	setPosition failed
0x00303ba4	package:caps_shake/src/systems/fuel/fuel_controller.dart
0x00303d4c	&FilledSmallSquare;
0x00303dec	set:_trikiSlide@1339430752
0x00303fb4	_subscribeToLiveDataCharacteristicStream@1466197479
0x00304154	package:vector_graphics_compiler/src/draw_command_builder.dart
0x003041bc	UUID requires at least 16 bytes, got 
0x0030463c	SignPayloadException2
0x003046f4	package:caps_games_common/src/flame/caps_sprite_component.dart
0x00304ae4	get:firmwareUpdate_NotSupported_Message
0x00304b1c	AudioTrebleDown
0x00304bbc	package:caps_zp_logger/src/emitters/disabled_logger_emitter.dart
0x00304efc	package:caps_boxer/src/boxer_game_widget.dart
0x00305364	CapsAppsException
0x00305474	LiveMeasurementConfig
0x00305524	package:caps_snake_1_v_1/src/components/arena/children/blocked_positions/children/snake/components/snake_body_segment_id.dart
0x003060a4	flutter_reactive_ble_connected_device
0x0030635c	package:capsapps_sdk/core/infrastructure/services/timeout_service.dart
0x00306cac	package:caps_toss_challenge/src/widget/toss_active_game.dart2
0x00306f04	package:caps_games_common/src/ui/assets/asset_image_widget.dart
0x003071ac	int float while private char char8_t char16_t char32_t catch import module export virtual operator sizeof dynamic_cast|10 typedef const_cast|10 const for static_cast|10 union namespace unsigned long volatile static protected bool template mutable if public friend do goto auto void enum else break extern using asm case typeid wchar_tshort reinter...
0x0030798c	BatteryCheckStatePatterns|maybeMap
0x00307b2c	_handleDragStart@331001611
0x00307b9c	package:caps_endless_match/src/component/objective_indicator/objective_indicator_component.dart
0x00307e54	package:caps_endless_match/src/component/player/player_ball.dart
